FileName	LinesWithCode	LinesWithComments	EmptyLines	TotalLines	Characters
4471134.java	15	16	10	41	529
7315202.java	147	11	35	193	5640
7961371.java	32	1	5	37	1020
6074435.java	35	24	13	72	1421
5382854.java	66	80	32	178	4614
6080722.java	60	18	21	99	2475
6662988.java	15	7	10	32	778
5533653.java	59	1	20	79	2439
727732.java	45	5	4	54	1997
5182382.java	154	33	41	228	7046
9418812.java	15	36	32	83	1526
5956596.java	123	0	15	138	4837
6015452.java	7	0	4	11	166
4341323.java	30	16	12	58	1944
10585989.java	34	4	11	49	1223
5932712.java	7	49	11	67	2173
3618570.java	10	2	6	18	269
10816140.java	321	27	53	401	9238
152018.java	10	55	14	79	3189
7913033.java	8	0	3	11	353
11655497.java	21	0	6	27	500
4075819.java	78	0	19	97	2893
3563592.java	385	3	63	451	13194
2326848.java	170	2	16	188	5970
4086945.java	15	23	15	53	1541
426290.java	10	52	18	80	2503
4047893.java	558	10	90	657	22283
10917566.java	4	1	3	7	158
791448.java	96	136	36	267	8201
5957619.java	9	6	10	25	421
10842364.java	137	3	47	187	6389
9216455.java	1	15	5	21	694
1647952.java	12	29	5	46	1579
6990743.java	304	1	55	359	11095
3207750.java	68	2	20	90	1788
3254334.java	43	0	11	54	1891
6591616.java	69	0	25	94	2910
3884182.java	38	6	9	53	1758
4765671.java	182	0	7	189	6068
694515.java	23	7	3	33	1182
3542980.java	12	10	8	30	572
1917117.java	14	1	1	16	290
2537954.java	35	8	10	53	1307
4766537.java	4	22	5	31	1106
254350.java	99	78	44	215	8188
5422829.java	20	10	9	39	670
10826822.java	240	3	83	326	8838
11268740.java	18	72	31	121	4270
2778807.java	99	42	20	161	5254
2226596.java	118	8	20	145	4680
7981097.java	20	8	8	36	1228
974217.java	8	19	6	33	977
8377027.java	141	34	42	214	6641
1925283.java	60	3	23	86	2477
8098764.java	281	26	73	379	10176
3437046.java	44	6	4	54	1408
2172110.java	16	1	7	23	621
9431041.java	5	28	9	42	1466
11383365.java	444	72	76	592	16570
11318788.java	33	2	9	44	1216
11865389.java	19	1	7	26	1015
10600416.java	9	18	8	35	998
6469232.java	3	4	4	11	113
8664019.java	96	3	12	111	4181
919588.java	9	28	15	52	2004
3884760.java	37	0	5	42	1371
7508266.java	11	6	8	25	470
6027361.java	18	0	7	25	566
1649670.java	42	19	18	79	2317
1824445.java	601	5	3	609	41755
10808784.java	499	7	76	582	27076
6870799.java	21	3	9	33	819
1993717.java	60	0	11	71	2168
7544059.java	25	3	7	35	845
2645589.java	5	8	7	20	328
11118609.java	100	0	17	117	4370
10156246.java	28	5	14	47	1295
6841257.java	4	1	3	7	169
5143879.java	6	0	2	8	236
1478862.java	1596	166	313	2065	86840
3573448.java	52	22	13	87	3036
6779961.java	131	7	32	170	4750
1530831.java	25	4	12	41	822
344767.java	16	46	17	79	2805
8523969.java	30	35	16	81	2846
6595192.java	27	101	48	176	3773
3651389.java	150	33	42	225	6514
7609468.java	1	21	7	29	860
1140098.java	11	45	14	69	1605
11368966.java	6	17	5	28	799
7739003.java	6	27	8	41	1719
11834848.java	36	5	8	49	1815
9464746.java	99	6	21	126	2865
9956167.java	81	10	30	121	2052
11775163.java	13	66	18	97	3584
4155283.java	49	0	13	62	1975
9832075.java	34	5	4	43	1516
2455960.java	169	4	39	212	7844
10612858.java	42	1	16	59	1636
4001554.java	6	14	5	24	454
427713.java	7	26	7	40	1254
3282723.java	43	0	8	51	871
872605.java	4	11	7	22	664
6642846.java	20	8	8	36	1228
2734520.java	145	11	32	188	7798
8578334.java	7	16	5	28	612
10958143.java	11	1	4	15	361
6521559.java	33	5	4	42	1445
10296164.java	6	3	5	14	215
11095825.java	25	5	9	39	1097
3478907.java	27	6	20	53	1637
11296327.java	18	50	18	81	2841
2329273.java	15	5	4	24	620
8584657.java	15	18	5	38	1675
4430211.java	31	62	41	134	3221
10898351.java	17	0	2	19	432
4097710.java	27	0	7	34	550
7109700.java	83	4	28	115	3801
8520584.java	24	2	9	35	867
3501618.java	5	8	7	20	333
8499669.java	14	0	4	18	383
7529833.java	243	6	65	312	7613
10919258.java	9	9	4	22	744
11457923.java	4	18	6	28	878
11818165.java	17	0	2	19	513
4174307.java	68	447	136	633	12593
8785004.java	213	24	61	298	11113
7143152.java	21	11	11	43	1123
7931261.java	31	11	8	50	921
8218382.java	10	19	8	37	1054
7084648.java	98	24	26	148	3309
6962338.java	56	6	19	81	1890
7747694.java	22	102	24	139	4446
7661097.java	21	4	9	33	876
3823884.java	35	3	11	49	1620
4007996.java	156	0	27	183	5742
9054191.java	8	55	14	77	2572
5030422.java	629	67	106	777	27368
3479209.java	33	5	4	42	1493
10398383.java	63	0	14	77	2239
2805406.java	608	8	132	748	25463
6615764.java	25	0	8	33	592
7072104.java	17	3	8	28	590
289571.java	215	15	18	248	8496
6882637.java	6	3	6	15	209
2899124.java	86	5	29	119	2831
4548021.java	179	54	52	281	5320
9278733.java	288	4	22	314	10280
2347590.java	4	1	3	7	161
4371521.java	8	5	5	18	283
10655318.java	95	132	45	272	4998
8023512.java	80	13	43	135	3773
6681532.java	14	0	4	18	404
6015912.java	105	30	17	151	5143
6043642.java	76	1	21	97	2942
7173278.java	76	12	16	103	3153
4046375.java	21	5	16	42	810
523144.java	5	31	7	43	1400
6411391.java	7	2	5	14	237
4688795.java	49	42	27	118	4242
1790826.java	64	30	49	138	3219
11418228.java	4	1	3	7	170
5479906.java	39	105	25	169	5377
10420640.java	33	10	13	56	1352
867695.java	23	18	11	52	1622
816221.java	36	8	14	58	2017
5046802.java	4	17	6	27	822
3172317.java	882	14	192	1088	41804
9976812.java	9	0	1	10	270
4768137.java	4	19	6	28	966
2233355.java	21	1	8	29	667
5028862.java	4	3	3	10	201
10649576.java	18	27	13	56	2110
6612903.java	8	16	7	31	827
6349366.java	40	2	12	54	1289
11180749.java	53	0	15	68	1288
3775760.java	15	0	6	21	476
11598887.java	4	1	3	7	165
115657.java	78	5	25	108	3087
2853423.java	0	5	2	7	133
1190706.java	54	23	19	96	3016
4957600.java	149	6	46	200	5252
1046270.java	76	11	13	100	3303
1015242.java	235	6	29	270	10874
3002508.java	32	15	12	59	1068
904846.java	4	1	3	7	175
7773309.java	686	0	88	774	29120
4332567.java	7	32	7	46	1621
1502422.java	33	22	12	67	2125
9795711.java	99	42	20	161	5195
2865435.java	164	15	16	195	6513
5342173.java	17	2	9	28	552
8474175.java	7	12	7	26	361
8454910.java	88	30	33	151	3573
1825679.java	40	39	19	98	2928
5326956.java	121	0	20	141	4443
11829783.java	267	5	52	324	8096
5410942.java	49	0	13	62	1566
10081544.java	296	10	77	383	14871
3837197.java	63	23	21	107	3100
1105156.java	132	24	19	175	4294
8873624.java	41	9	11	61	1851
5509714.java	55	6	4	59	2230
8499387.java	542	106	95	742	28610
9084076.java	38	0	10	48	1780
5664765.java	362	3	133	498	8793
3701363.java	4	6	6	16	281
301010.java	1026	33	184	1239	47608
1104539.java	46	17	10	73	2698
8160901.java	9	17	12	38	790
10194560.java	23	5	4	32	1004
11288879.java	247	0	39	286	9218
417518.java	5	16	6	27	963
10740302.java	94	0	21	115	3701
7743507.java	76	8	21	101	3606
5867107.java	26	20	8	54	1871
10249304.java	48	52	32	132	3943
8383856.java	13	0	5	18	342
1475533.java	9	3	6	18	279
2127879.java	19	58	23	100	3668
426355.java	8	26	9	43	1293
300112.java	313	5	64	382	11310
6495464.java	28	120	23	171	5866
717177.java	16	19	9	44	1099
4977070.java	29	31	20	80	1957
6690722.java	55	3	11	69	1420
9920618.java	35	23	14	72	2001
4237279.java	13	37	11	61	1753
10483449.java	23	22	9	54	2104
7470334.java	174	2	40	216	7453
7919209.java	12	10	10	31	500
6990307.java	27	31	17	70	1664
11519557.java	103	0	18	121	3661
1679677.java	32	6	12	50	982
11262110.java	44	0	16	60	2640
7794957.java	37	7	18	59	1283
1947839.java	594	10	67	671	23265
7829899.java	22	11	10	43	1325
3022780.java	197	17	60	273	8125
7349507.java	8	8	8	24	417
7868371.java	7	3	2	12	211
195299.java	8	3	3	14	188
3738191.java	63	11	16	90	2335
1371553.java	129	27	29	184	7079
2513521.java	3	5	6	14	249
3785398.java	308	6	44	358	10710
5953152.java	18	3	7	28	593
1966417.java	83	16	24	123	3634
5804636.java	541	7	46	593	21923
5117.java	3	5	6	14	249
8467715.java	104	0	29	133	4343
2077514.java	125	1	29	154	4530
2503912.java	50	11	21	82	2033
583516.java	5	31	7	43	1400
3919270.java	76	17	21	109	2381
388523.java	35	19	11	65	2072
5159232.java	28	31	14	73	2113
10392084.java	74	12	7	93	4082
5414386.java	88	17	6	111	6297
4178654.java	163	12	59	234	4428
5056557.java	373	15	46	422	17384
4991019.java	133	0	36	169	5647
3185046.java	1346	5	155	1506	50469
4314953.java	15	3	11	29	496
4419867.java	150	43	35	227	7642
3722832.java	6	17	10	33	630
1988872.java	141	0	19	160	5631
2693101.java	28	5	7	40	1751
3551096.java	11	5	6	22	515
921018.java	810	4	151	965	31566
3217882.java	24	0	11	35	877
7399091.java	472	10	45	527	21668
4427051.java	142	0	37	179	4989
5472397.java	81	17	24	122	2261
5780942.java	4	1	3	7	164
6835811.java	11	33	8	52	1848
7878989.java	28	4	13	45	883
534105.java	34	15	15	64	1159
4654732.java	49	5	18	72	1817
7035161.java	98	28	14	138	4760
4719528.java	0	1	3	4	75
6018933.java	3	12	6	21	508
3818691.java	476	151	158	785	21825
6246668.java	138	0	22	160	5930
1519552.java	46	29	32	107	2386
8250833.java	8	5	4	17	372
3225112.java	17	14	7	38	1333
4650251.java	288	36	54	373	8196
2896152.java	195	0	49	244	7529
193876.java	11	55	14	80	3191
3647964.java	25	5	12	42	944
256870.java	31	0	7	38	911
9758356.java	35	5	15	55	1187
10261271.java	11	5	3	19	373
9630532.java	98	2	22	122	3892
1695675.java	6	8	9	23	406
21395.java	22	3	8	33	802
7184513.java	22	2	15	39	571
8103134.java	18	62	32	111	2338
8985092.java	131	1	5	137	4758
9507939.java	15	13	12	40	703
9979308.java	50	85	38	173	5854
2903594.java	163	34	28	225	5641
8234284.java	27	10	13	49	1418
5072038.java	34	20	13	67	2388
7654060.java	1516	29	116	1661	48504
2641655.java	199	21	14	234	8503
7621859.java	34	4	7	45	1499
9069860.java	34	2	9	45	983
1608189.java	38	0	7	45	1255
5028299.java	4	3	3	10	201
2589528.java	9	16	8	32	491
3667794.java	28	120	23	171	5866
1502499.java	11	179	12	202	7467
5649990.java	31	2	10	43	1370
9769717.java	164	3	68	235	5529
7350944.java	151	7	52	210	6643
11900849.java	18	72	31	121	4270
5103398.java	29	7	8	44	1182
5026491.java	15	3	4	22	554
320270.java	1243	51	218	1467	41276
1610899.java	723	70	114	907	29718
10274086.java	101	11	30	140	3074
10379272.java	16	1	4	20	514
4061878.java	18	2	4	24	476
10777205.java	500	30	63	593	16310
10148214.java	149	6	28	183	4510
3140168.java	114	3	28	145	4328
7866889.java	339	5	46	390	14349
1401484.java	95	59	22	176	5707
5714996.java	36	11	10	57	1441
4397305.java	25	0	5	30	380
3589954.java	9	9	4	22	754
7994933.java	329	18	57	402	15170
2731695.java	18	0	2	20	318
6904370.java	55	19	12	86	1874
2799633.java	39	14	14	67	2121
9924292.java	36	30	12	78	2798
6699037.java	86	0	22	108	2737
3454308.java	31	29	15	75	2130
3319949.java	27	0	12	39	693
10418800.java	44	17	14	75	2111
7640786.java	289	0	63	352	11877
7670832.java	121	5	42	168	4172
3227628.java	5	3	2	10	261
5929766.java	3	5	6	14	202
11178510.java	4	14	4	22	760
9729722.java	326	5	43	374	8300
3665748.java	100	2	15	117	4606
2442018.java	13	7	8	27	768
2919292.java	9	41	18	68	1587
1855415.java	11	30	16	57	1575
2125811.java	37	0	9	46	1246
9610911.java	9	9	4	22	754
5598767.java	10	14	9	33	702
1724020.java	108	0	71	179	5078
3215416.java	33	4	14	51	1543
9462838.java	373	3	72	448	10509
10007475.java	17	8	12	37	370
5830820.java	65	5	4	74	3152
11559402.java	443	0	60	503	12270
3272221.java	35	23	16	74	2694
10911773.java	19	9	10	38	1042
9419856.java	53	7	10	70	1548
8829899.java	49	0	11	60	2098
8322820.java	45	20	15	80	2782
10384842.java	121	11	29	152	5307
4837236.java	75	10	12	97	2618
11021382.java	59	4	12	75	2123
7565668.java	170	9	16	195	7487
657984.java	127	90	34	251	8678
453946.java	28	161	61	250	6115
3795699.java	88	17	6	111	6297
9423667.java	28	63	25	115	3579
10315786.java	275	8	41	324	10099
4181928.java	362	16	67	445	17036
3032892.java	28	0	7	35	1160
1898938.java	159	25	15	199	5890
2294475.java	180	0	44	224	5466
3011979.java	98	7	34	139	2441
6017527.java	20	5	10	35	665
9140051.java	36	2	10	48	904
8297401.java	293	6	62	361	9047
7140021.java	131	26	29	186	4253
2476936.java	6	21	9	36	905
11796565.java	52	36	37	119	3348
183928.java	8	18	14	39	777
4945049.java	8	23	12	43	1041
6649292.java	3	36	5	44	1698
4356372.java	12	30	23	61	1898
7123688.java	199	10	25	233	6252
11224858.java	56	55	27	138	3753
4648193.java	12	16	4	32	968
10615442.java	146	26	34	206	5632
7006225.java	28	16	12	56	2351
3124063.java	134	0	18	152	4100
4016953.java	63	3	16	82	2032
3315501.java	282	0	45	327	9167
3016788.java	8	31	15	54	1427
5663389.java	5	18	9	32	951
2762624.java	18	5	4	27	733
138796.java	9	21	6	36	1141
7842913.java	22	92	35	149	5463
7660217.java	61	66	31	158	5279
7134894.java	17	5	5	27	597
7230804.java	32	6	11	49	1224
1362461.java	645	78	89	812	18204
7503828.java	31	0	7	38	1225
10827976.java	10	2	4	16	353
3648468.java	11	1	3	14	400
7878082.java	24	0	8	32	502
5492032.java	89	0	28	117	3951
3839714.java	4	8	3	15	641
8032411.java	9	5	7	21	478
9305249.java	31	0	7	38	780
8129180.java	59	4	20	83	2454
10621916.java	41	116	29	186	6544
8903752.java	330	35	58	423	11968
3115903.java	6	3	6	15	221
3695600.java	53	18	12	83	2612
10238620.java	34	23	16	73	2572
3121616.java	38	3	11	52	1497
10555714.java	63	0	13	76	2248
812715.java	10	0	4	14	219
8581134.java	43	6	14	63	733
7214004.java	82	18	23	123	3083
3204713.java	4	2	5	11	167
10181122.java	211	1	48	260	8770
3858744.java	158	0	17	175	4913
4850279.java	201	32	47	280	9624
3220042.java	8	3	3	14	194
1234473.java	778	0	86	864	25092
9628530.java	22	4	7	33	623
171351.java	380	29	79	486	14229
1420642.java	31	4	3	38	797
6731927.java	13	0	4	17	330
8166874.java	9	30	15	54	1442
5410997.java	89	25	27	139	3984
7914.java	108	1	29	138	4091
9415995.java	9	5	9	23	504
398521.java	43	18	9	70	1989
7057121.java	56	13	19	88	2147
1195725.java	16	32	16	64	1701
4139404.java	281	3	35	319	12038
7271950.java	4	11	5	19	344
2669309.java	10	37	10	57	2002
5666281.java	15	23	15	53	1541
222103.java	60	1	15	76	2279
8101865.java	16	5	7	28	669
10762338.java	110	0	22	132	3538
434918.java	9	16	10	35	1087
7654221.java	16	10	10	36	818
5477746.java	476	0	137	613	16371
10989463.java	30	0	7	37	946
9314141.java	17	7	8	31	745
3086307.java	27	5	13	45	1104
8185035.java	29	16	12	57	1937
7243632.java	112	33	34	179	5385
4854907.java	4	1	3	7	161
1089937.java	5	15	7	27	872
1632484.java	12	35	20	67	1591
4572555.java	12	16	4	32	968
7877110.java	17	5	6	28	918
4789776.java	157	19	50	226	6621
9252449.java	16	8	6	30	615
7405086.java	6	8	8	22	296
11009735.java	119	36	45	191	6379
2922769.java	63	13	23	93	2949
10118471.java	925	2	222	1149	28932
5039435.java	4	3	3	10	201
5916182.java	93	19	39	146	4992
7420913.java	25	6	6	37	1172
5005847.java	11	5	3	19	340
1359749.java	828	33	82	943	24251
10458206.java	10	2	4	16	160
7189229.java	91	5	33	129	3600
7132277.java	7	5	4	16	398
2455688.java	209	0	43	252	9025
6803956.java	20	21	24	65	1492
11585998.java	20	0	6	26	667
9740883.java	42	0	20	62	1455
11361597.java	6	23	7	36	1268
11349634.java	54	20	18	92	2596
2305834.java	233	9	50	292	11905
10651525.java	20	6	8	34	778
2961990.java	283	3	95	381	11816
4485739.java	229	9	56	287	8046
8329748.java	47	5	13	65	2074
3979231.java	310	16	58	384	11367
1032035.java	87	0	31	118	3427
1094128.java	106	12	21	139	4361
5924180.java	32	5	4	41	1338
3015950.java	10	5	5	20	321
2429752.java	1456	96	113	1665	56711
10813253.java	26	2	10	38	748
4687864.java	227	6	46	279	7025
6266633.java	1614	31	125	1769	53326
5091605.java	27	31	17	70	1664
6034053.java	70	108	27	204	5364
6311093.java	11	4	4	19	292
2452079.java	4	26	6	36	1326
5363215.java	13	15	9	37	1073
7471169.java	30	14	14	57	1522
4237931.java	4	20	7	31	911
8025434.java	40	25	18	83	2748
586307.java	16	166	28	210	7633
8193033.java	18	5	4	27	724
10328871.java	15	42	7	64	2743
11925680.java	106	27	34	167	3498
4191511.java	29	0	8	37	1004
10165395.java	13	14	8	35	1022
7788781.java	5	40	10	55	1915
520428.java	87	7	24	115	3377
1845386.java	10	62	12	83	2435
11356953.java	7	4	5	16	398
9017945.java	1	3	2	6	114
11883442.java	17	39	10	66	3014
3665270.java	7	5	5	17	254
5916056.java	4	17	8	28	1292
2029156.java	69	19	30	118	3563
8416417.java	13	5	3	21	542
9620985.java	6	5	4	15	400
1335255.java	16	7	5	28	528
10045299.java	748	2	152	902	33876
7751949.java	368	27	64	459	6902
328726.java	45	5	10	60	2059
9239323.java	9	53	19	81	2979
5867748.java	6	10	8	23	404
2628260.java	45	45	37	127	2987
6006288.java	52	2	7	61	1521
2361135.java	4	20	6	30	869
453932.java	91	21	26	137	4288
5953068.java	93	4	19	116	1961
3403688.java	4	6	4	14	230
11289122.java	48	0	1	49	217
5855124.java	111	0	121	232	5269
9499362.java	102	38	13	153	5059
10017659.java	77	16	20	113	3817
422397.java	4	17	6	27	1018
8181614.java	4	1	3	7	169
11096011.java	44	2	12	58	1530
691159.java	3	3	5	11	133
6673805.java	41	1	5	47	1548
1368295.java	23	0	6	29	704
8136413.java	15	10	9	34	992
6522343.java	1080	26	116	1222	42277
2061177.java	959	0	72	1031	42197
11399907.java	34	3	11	46	1048
6589544.java	133	13	23	169	5927
4866453.java	28	14	14	54	824
8176660.java	83	14	10	107	4698
11977140.java	19	0	9	28	604
6950868.java	7	24	8	39	1421
8940959.java	191	0	160	351	6324
10692279.java	17	126	32	173	5929
11215881.java	5	8	6	19	493
6734170.java	4	18	6	28	965
1447910.java	280	0	37	317	13694
2216517.java	30	208	41	279	12085
4724766.java	54	78	32	164	3799
9575669.java	25	2	18	45	688
3912279.java	12	2	7	21	413
7387037.java	38	0	14	52	1024
3612221.java	12	0	6	18	300
9830115.java	164	22	33	216	6637
5584374.java	91	0	24	115	4503
7117110.java	20	28	13	61	1612
9135340.java	41	3	9	53	1269
8115835.java	4	3	3	10	201
9963940.java	16	13	8	37	1185
4817894.java	251	10	49	310	7757
97598.java	28	1	7	35	1008
6225553.java	51	0	12	63	1511
1058293.java	63	3	19	85	2593
3913567.java	17	4	7	28	475
11929858.java	17	14	7	38	1333
6024797.java	17	0	6	23	378
9031870.java	36	4	10	50	1256
4405285.java	121	0	36	157	3511
7024383.java	30	4	16	50	1431
5591399.java	340	2	53	395	16087
4934843.java	11	6	7	24	386
6110779.java	138	14	40	190	5833
1413209.java	4	20	5	29	964
11743048.java	10	13	7	30	908
1747754.java	15	5	4	24	615
558778.java	385	3	63	451	13194
1728933.java	101	5	33	139	4402
9834754.java	8	13	8	29	727
10911382.java	13	5	8	26	753
2459422.java	9	9	4	22	744
6442138.java	98	5	45	144	3711
10836740.java	14	10	7	31	603
9568560.java	9	0	6	15	234
1810840.java	119	22	24	164	5663
2087389.java	21	6	9	36	1054
5951445.java	79	7	26	112	3442
1486261.java	30	0	9	39	646
755819.java	534	25	95	654	19434
2864182.java	28	14	15	57	949
9452737.java	721	9	92	822	36588
1188356.java	235	38	54	299	10815
3979628.java	85	19	32	136	3436
5137827.java	388	0	94	482	16962
9946191.java	15	30	11	56	1466
3366935.java	22	0	3	25	829
2247632.java	21	5	4	30	880
7563706.java	118	23	20	161	4319
1878402.java	11	26	21	58	1274
4140178.java	36	0	13	49	1082
11457027.java	40	0	22	62	1181
9316848.java	28	41	22	91	1882
7220287.java	14	19	8	41	778
3860455.java	19	5	4	28	771
5650648.java	1	5	2	8	135
9667424.java	11	20	8	39	809
6504847.java	44	16	16	76	1814
6167903.java	90	6	3	99	2631
5230016.java	13	10	14	37	792
420457.java	11	51	18	80	2481
7643912.java	20	13	12	45	676
3520638.java	1	21	7	29	860
8411468.java	26	6	8	40	814
134448.java	27	0	10	37	1039
7686482.java	10	53	18	81	2987
4063233.java	6	9	5	20	657
3169069.java	11	39	15	65	1731
6504439.java	964	0	114	1078	28766
5466003.java	16	2	3	21	387
5748739.java	594	10	67	671	23265
2519416.java	13	14	9	36	1199
7788517.java	25	8	11	44	1579
9413536.java	21	2	9	32	750
5345666.java	152	37	47	236	5126
6160605.java	7	4	5	16	398
58511.java	61	4	11	76	1930
8379126.java	21	29	12	62	2566
1454579.java	41	19	17	77	1738
11467209.java	36	5	9	50	2015
10873629.java	32	0	13	45	1272
3487573.java	28	28	20	76	2556
717049.java	175	2	44	221	6881
602584.java	94	5	18	117	2976
151339.java	338	9	73	420	14658
402518.java	4	17	6	27	1018
3582060.java	23	3	11	37	939
8830978.java	112	0	25	137	3824
7524568.java	107	5	21	133	5072
8387116.java	62	27	13	101	3239
6056154.java	11	21	7	38	1071
807056.java	10	1	4	14	346
3519633.java	20	10	9	39	647
2984453.java	70	0	10	80	2344
668069.java	8	9	9	26	481
7831256.java	10	19	8	37	1220
4151924.java	11	7	12	30	544
2715597.java	4	19	5	28	916
10652826.java	104	18	29	150	3783
11361145.java	57	3	9	69	1705
3436546.java	46	6	15	66	1823
1205415.java	56	45	22	123	3452
11182893.java	18	0	7	25	467
2152216.java	21	11	6	38	878
10303199.java	18	26	10	54	1981
10811890.java	10	20	12	42	1034
10979604.java	57	1	14	72	1694
1674923.java	45	28	19	92	2687
3108327.java	130	41	35	203	7807
10792835.java	4	1	3	7	177
11488711.java	59	13	22	94	2502
7877623.java	411	10	42	463	21558
6837438.java	28	2	10	40	955
9205279.java	4	5	5	14	220
6914017.java	6	16	7	29	939
1559081.java	9	9	4	22	754
1088732.java	10	20	11	39	940
4861031.java	14	72	25	111	3647
426054.java	6	27	8	41	1464
6424613.java	39	6	14	59	1993
6183639.java	14	0	4	18	383
4212704.java	443	30	65	533	13136
9810407.java	10	3	8	21	389
11857539.java	10	1	4	14	360
8436465.java	29	33	14	76	1949
67897.java	26	29	13	68	2232
9175975.java	1106	8	196	1310	50691
156726.java	10	24	11	45	1387
11775482.java	8	18	11	36	1015
1378682.java	18	0	1	19	410
1723068.java	9	62	7	78	3387
5948409.java	22	4	18	44	962
1593585.java	98	8	14	119	4120
5439138.java	11	0	6	17	512
8504551.java	12	14	10	36	590
7351747.java	8	17	8	33	830
10185474.java	56	0	15	71	3127
11661639.java	4	1	3	7	168
5804322.java	33	1	14	47	1293
7122635.java	34	23	16	73	2655
10563340.java	31	23	16	70	2478
9148258.java	27	31	17	70	1664
10433100.java	87	0	15	102	3841
6295265.java	27	1	9	36	1153
3183624.java	11	87	11	109	4109
441906.java	49	18	21	88	2927
4252323.java	88	16	17	121	3805
9542205.java	38	10	13	61	2220
3071564.java	280	33	70	382	11049
7985861.java	22	6	7	35	1076
3378465.java	14	2	7	23	678
2721520.java	28	45	22	94	1727
752219.java	175	2	44	221	6881
4355300.java	4	10	7	21	519
1294160.java	31	15	13	59	1921
6116070.java	9	29	5	43	1547
10340307.java	211	19	31	261	9022
7877759.java	15	3	4	22	554
10935093.java	705	0	80	785	25015
3095978.java	14	14	7	35	937
5024782.java	237	0	41	278	8080
3489724.java	13	0	4	17	553
1230175.java	6	13	10	29	713
4917200.java	55	7	6	68	2767
10561448.java	25	5	10	40	813
5544876.java	17	35	16	68	1935
5998972.java	5	34	9	48	1841
7355619.java	29	16	14	59	1793
178492.java	1269	0	72	1341	39725
3717085.java	134	4	28	166	4015
3600024.java	31	5	4	40	1334
8880352.java	33	23	16	72	2525
2013858.java	13	3	6	22	354
7736767.java	64	0	17	81	1790
11839095.java	45	84	29	158	6450
9959959.java	79	22	30	131	3102
2943708.java	9	26	9	43	1710
3754250.java	11	37	23	71	1892
5254959.java	43	14	14	69	2058
5204846.java	27	59	15	101	3034
10093065.java	73	3	10	85	2769
4935084.java	169	0	21	190	5306
9707514.java	39	0	8	47	1107
7470730.java	7	17	6	30	876
5101399.java	74	5	15	94	2624
1522198.java	230	21	36	287	9534
1025858.java	163	3	17	183	7479
1925646.java	30	35	12	77	2981
4116813.java	29	7	12	48	802
7399614.java	2	3	3	8	122
8525731.java	33	0	13	46	1352
1223541.java	176	3	38	217	6841
7189853.java	26	86	41	153	3741
8099878.java	9	22	10	41	1026
3766594.java	5	16	4	25	909
6658195.java	12	29	13	54	1746
616088.java	8	10	12	30	694
8866834.java	9	26	10	45	1220
2800281.java	186	1	22	209	6109
6300067.java	78	5	20	103	3584
5467430.java	26	0	12	38	999
4866871.java	40	8	9	57	1406
8792134.java	4	1	3	7	168
10994134.java	70	6	20	96	3580
3638484.java	32	23	16	71	1638
357938.java	64	0	21	85	2756
552217.java	14	44	9	66	2149
418306.java	54	71	33	158	4168
425575.java	10	52	18	80	2503
8225549.java	94	2	26	122	3127
9751058.java	5	5	5	15	337
11908362.java	74	0	15	89	2704
976895.java	23	0	4	27	803
5454297.java	4	3	4	11	237
10425075.java	0	88	11	99	2854
8912710.java	32	5	14	51	1043
3954364.java	10	1	5	15	340
1771601.java	49	2	13	64	2434
10513286.java	20	0	10	30	562
3658057.java	4	11	6	21	396
1296834.java	345	0	67	412	13151
5490879.java	15	20	9	44	1430
11370232.java	27	31	17	70	1664
9063538.java	20	12	10	42	712
4527302.java	7	9	7	20	568
10426725.java	8	19	9	36	849
10214350.java	4	23	8	35	1136
1217612.java	8	45	9	59	2071
792361.java	269	136	102	507	14869
3318293.java	348	43	71	461	13460
7793542.java	14	5	7	26	668
5267066.java	8	12	7	27	351
27842.java	110	16	45	155	4296
2137171.java	65	0	15	80	2350
11203308.java	131	37	30	198	5916
1554111.java	1	5	3	9	80
9248666.java	8	34	12	54	1453
2880641.java	18	24	12	54	1993
8718427.java	264	6	40	310	9650
10290283.java	5	3	3	11	154
761640.java	24	2	10	36	612
2568624.java	16	26	15	57	930
407701.java	58	0	9	67	2027
1335572.java	8	44	34	64	1858
11979167.java	66	6	28	100	2554
5041836.java	629	67	106	777	27368
9001893.java	58	11	14	83	3035
11506563.java	202	6	61	269	7759
7872787.java	594	10	67	671	23265
5446966.java	36	25	20	81	1777
4688081.java	462	155	54	671	26507
4414591.java	8	21	12	41	1372
4785064.java	11	13	9	33	967
9511166.java	111	4	11	126	3954
3681167.java	4	6	4	14	474
3507936.java	45	30	21	95	3185
7176500.java	9	23	18	50	1146
1544824.java	37	37	21	95	2483
1235107.java	91	3	23	117	3067
10383336.java	8	36	12	55	1938
8892269.java	52	5	9	66	1161
9025764.java	28	4	16	48	1273
7298454.java	7	2	6	15	243
11583942.java	9	4	7	20	443
1613411.java	15	0	5	20	495
2638598.java	61	0	15	76	2408
6523303.java	45	3	21	66	1170
4123397.java	19	0	7	26	504
8837014.java	7	2	2	8	90
11756606.java	187	0	25	212	7542
9500054.java	4	6	7	17	256
3920929.java	159	0	24	183	7427
6724666.java	36	8	9	53	2185
2174910.java	37	0	2	39	834
285317.java	34	1	13	47	1328
2884662.java	91	2	25	118	3359
7031442.java	6	10	9	25	417
9475439.java	11	25	6	35	942
3675095.java	247	20	30	297	6579
4118497.java	9	3	2	11	319
11730037.java	118	22	27	167	5158
